id,comment_text,argument_text,label
414721685arg2,"Simple, maybe I believe in Allah, or the flying spaghetti monster, or no god at all. Why won't they put and to the republic, for which it stands, one nation under the flying spaghetti monster...?",Removing under god would promote religious tolerance,4
414721643arg1,"As an devout atheist I strongly oppose this. It seems like some people don't understand that there IS  a seperation between church and state. Now I have to join the herd and recite a few words that mean nothing to me? We have something called a church that people do this in. So why is it in a public school?  Are we forgetting about those who may practice hinduism, buddhism, shintoism and other religions? What about them?  I don't care if the majority of people are Christains. SO! But since when do the majority decide what is best for everyone? Where are we in China now?  By the way, I thought as a good bunch of christains you were not suppose to mention thy lord's name in vain. CLAP CLAP Good for you.....NOT! Here you are running around using it in some nationalist verse so you can feel better about yourselves. God bless America what about the rest of the world?",Separation of state and religion,5
414721983arg6,i think it shouldent  be in the pledge because there is other religions and people out in the U.S and the pledge might afend them and make them not like the U.S and that should be the start of certant groups like the KKK.,America is based on democracy and the pledge should reflect the belief of the American majority.,2
414721876arg1,"I am against having the statement Under God in the pledge for two reasons. It is violating the first amendment and the separation of state and church, and it is also offensive to the atheists and the people of other religions. You that you don't have to say it if you don't want to. I am an atheist and I prefer not to say it. For a long time after they take it out (if they do, of course), people will accidentally say it from habit of it being in there so long when it didn't need to. You CAN still be Christian even if the pledge to your country doesn't say Under God.",Separation of state and religion,5
414721876arg2,"I am against having the statement Under God in the pledge for two reasons. It is violating the first amendment and the separation of state and church, and it is also offensive to the atheists and the people of other religions. You that you don't have to say it if you don't want to. I am an atheist and I prefer not to say it. For a long time after they take it out (if they do, of course), people will accidentally say it from habit of it being in there so long when it didn't need to. You CAN still be Christian even if the pledge to your country doesn't say Under God.",Removing under god would promote religious tolerance,4
414721718arg1,Our for fathers put in and it was how our contry was founded. So why is it under question now?,Separation of state and religion,2
414721718arg3,Our for fathers put in and it was how our contry was founded. So why is it under question now?,Under God  is part of American tradition and history,5
414721745arg6,church and state should be seperate. saying this why should under God be in the pledge? many americans that love their country are not christians so why should they have to say under God..,America is based on democracy and the pledge should reflect the belief of the American majority.,2
414721972arg6,"There is no reason that the phrase under god should be removed from the pledge.  Even if you don't believe in Christianity your god could be anyone so assume that your referring to your own.  If your atheist, don't say it when you say the pledge.  It's an optional thing and not saying under god isn't looked down upon.  Since the majority of the country is ok with it, I don't see a reason why it should be removed.",America is based on democracy and the pledge should reflect the belief of the American majority.,5
414721781arg6,"The term under God is offensive to many Americans, and not just to non-believers.  It is reference to the particular God of evangelical Christians, and is simply a way for that group to flex their political muscle.  It is exclusionary. The same can be said for In God We Trust on currency.",America is based on democracy and the pledge should reflect the belief of the American majority.,1
414721880arg1,"Religion should stay out of the public square, except when people exercise their right to the freedom of speech an expression. Having Under God in the pledge forces all people to pledge allegiance to a higher power they may not believe in. The separation of Church and State should disallow such favoritism. Can anyone fathom the reaction of believers if it said: One Nation, created by a big bang and inhabited by evolved creatures.... ?",Separation of state and religion,5
414721880arg2,"Religion should stay out of the public square, except when people exercise their right to the freedom of speech an expression. Having Under God in the pledge forces all people to pledge allegiance to a higher power they may not believe in. The separation of Church and State should disallow such favoritism. Can anyone fathom the reaction of believers if it said: One Nation, created by a big bang and inhabited by evolved creatures.... ?",Removing under god would promote religious tolerance,4
414721687arg1,"The words 'under God' were added at the height of the McCarthy era, and, given the constitutional requirement of the separation of Church and State, do not belong in the Pledge of Allegiance. Regardless of one's personal beliefs, the Constitution is the one document all Americans return to, and 'under God' is not part of that.",Separation of state and religion,5
414721687arg3,"The words 'under God' were added at the height of the McCarthy era, and, given the constitutional requirement of the separation of Church and State, do not belong in the Pledge of Allegiance. Regardless of one's personal beliefs, the Constitution is the one document all Americans return to, and 'under God' is not part of that.",Under God  is part of American tradition and history,1
414721775arg6,"Atheism doesn't mean the absence of religion - it means the absence of a god in one's belief system.  Certain forms of Buddhism, for example are atheistic.  Therefore, requiring a statement of belief in a god is unconstitutionally preferring a majority religious belief over a minority one.  The point of the Pledge is to state allegiance to the flag and country.  If one believes in a god, there are many, many other forums in which to express that belief without imposing it on others.",America is based on democracy and the pledge should reflect the belief of the American majority.,1
414721705arg1,"Yes I think we should leave thing alone in our Pledge of Allegiance.  Its bad enough they let so one that wasn't a Christian come in and take our rights away from us.  If they are not born in American, they shouldn't have any rights to change what our Four Father's start in American.  It would be different if our Four Father's knew about the way American turned out to be.  Since we took God out of school, our school is over run with children who doesn't listen or mind.  And people wonder why there is so many children shooting other children and adults.  This does include at school, in the street, in our neighborhoods.  Kids are not afraid of consequence for there actions.  Now we have adults who don't care what their children do to others.  People wonder why American is the way that it is.  Think about it.",Separation of state and religion,1
414721705arg2,"Yes I think we should leave thing alone in our Pledge of Allegiance.  Its bad enough they let so one that wasn't a Christian come in and take our rights away from us.  If they are not born in American, they shouldn't have any rights to change what our Four Father's start in American.  It would be different if our Four Father's knew about the way American turned out to be.  Since we took God out of school, our school is over run with children who doesn't listen or mind.  And people wonder why there is so many children shooting other children and adults.  This does include at school, in the street, in our neighborhoods.  Kids are not afraid of consequence for there actions.  Now we have adults who don't care what their children do to others.  People wonder why American is the way that it is.  Think about it.",Removing under god would promote religious tolerance,2
