id,text,label,present,uid
ab316,"a spider is not human life therefore it is not as precious for it does not have a soul and i for one usually don't kill spiders unless they are of harm!     Nothing has a soul. We simply live. A spider has as much life as you and I.  We consider ourselves more precious because of our minds, and a foetus has no mind.",c-sex,0,ab316arg12
ab316,"a spider is not human life therefore it is not as precious for it does not have a soul and i for one usually don't kill spiders unless they are of harm!     Nothing has a soul. We simply live. A spider has as much life as you and I.  We consider ourselves more precious because of our minds, and a foetus has no mind.",c-bad_4_mom,0,ab316arg13
ab316,"a spider is not human life therefore it is not as precious for it does not have a soul and i for one usually don't kill spiders unless they are of harm!     Nothing has a soul. We simply live. A spider has as much life as you and I.  We consider ourselves more precious because of our minds, and a foetus has no mind.",c-other,0,ab316arg14
ab318,"AGREED WITH ARY11 with everything!!!!!!!!  Educating our sexually active youth is vital! Perhaps if we actually took the time to properly discuss the consequences of having un-safe sex, then abortion wouldn't even have to be an issue. nonetheless, regardless of the consequence the decision is still the ONE person's. Which is the woman deciding to have/not have the abortion.",p-right,1,ab318arg0
ab318,"AGREED WITH ARY11 with everything!!!!!!!!  Educating our sexually active youth is vital! Perhaps if we actually took the time to properly discuss the consequences of having un-safe sex, then abortion wouldn't even have to be an issue. nonetheless, regardless of the consequence the decision is still the ONE person's. Which is the woman deciding to have/not have the abortion.",p-rape,0,ab318arg1
ab318,"AGREED WITH ARY11 with everything!!!!!!!!  Educating our sexually active youth is vital! Perhaps if we actually took the time to properly discuss the consequences of having un-safe sex, then abortion wouldn't even have to be an issue. nonetheless, regardless of the consequence the decision is still the ONE person's. Which is the woman deciding to have/not have the abortion.",p-not_human,0,ab318arg2
ab318,"AGREED WITH ARY11 with everything!!!!!!!!  Educating our sexually active youth is vital! Perhaps if we actually took the time to properly discuss the consequences of having un-safe sex, then abortion wouldn't even have to be an issue. nonetheless, regardless of the consequence the decision is still the ONE person's. Which is the woman deciding to have/not have the abortion.",p-mother_danger,0,ab318arg3
ab318,"AGREED WITH ARY11 with everything!!!!!!!!  Educating our sexually active youth is vital! Perhaps if we actually took the time to properly discuss the consequences of having un-safe sex, then abortion wouldn't even have to be an issue. nonetheless, regardless of the consequence the decision is still the ONE person's. Which is the woman deciding to have/not have the abortion.",p-baby_ill_treatment,0,ab318arg4
ab318,"AGREED WITH ARY11 with everything!!!!!!!!  Educating our sexually active youth is vital! Perhaps if we actually took the time to properly discuss the consequences of having un-safe sex, then abortion wouldn't even have to be an issue. nonetheless, regardless of the consequence the decision is still the ONE person's. Which is the woman deciding to have/not have the abortion.",p-birth_ctrl,0,ab318arg5
ab318,"AGREED WITH ARY11 with everything!!!!!!!!  Educating our sexually active youth is vital! Perhaps if we actually took the time to properly discuss the consequences of having un-safe sex, then abortion wouldn't even have to be an issue. nonetheless, regardless of the consequence the decision is still the ONE person's. Which is the woman deciding to have/not have the abortion.",p-not_murder,0,ab318arg6
