id,text,label,present,uid
gr471,"No, it's nothing like that. Actually, I see Avedomni over there has put it better than I can -- you're conflating description with definition.   How is it not like it? How am I conflating description with definition when I am talking about the order of something?   Accept it? No, I don't think you will ever accept it. Your mind is closed. But I do want to force you to tolerate it. We forced racial integration onto people who didn't want it, and that was a good thing. We should force gay marriage onto people for similar reasons.   I do want to force you to tolerate it? Wow! maybe I'm wrong but that doesn't sound like toleration or freedom. It sounds more like tyranny.  You assume that racial integration and gay marriage are morally equivalent. Please tell me how judging the color of ones skin is equivalent to judging the behavior of someone. Maybe you should be more open minded to the fact that they might not be morally equivalent.   I wouldn't say it's a good thing. It just is.    You wouldn't say it's a good thing? You just said that racial integration was a good thing and gay marriage is it's moral equivalent. So how is that not saying this is a good thing if this a part of gay marriage?    Are you honestly suggesting a large number of people should repress their sexuality for their entire lives?   Yes, just like thieves and murderers should repress their desires for their entire lives. Some behaviors are detrimental to civilization and should be restrained for the greater good. Just ask the Roman Empire what happens when you let homosexuality be freely expressed.   Problems such as depression and suicide are caused by a lack of tolerance, and we should work to change society's attitude.   Sorry, Loss of hope leads to depression and depression leads to suicide. Telling people the are born gay and can't change kills hope for someones who's conscience is troubled.   See when you tell someone they are born gay and can't change; you shut the door on them and say there is no way out; you seal their fate and condemn them to death.  I however throw the door open and say; your behavior doesn't define you, you can change and there are thousands who have. That's hope and that saves lives.   Also, American Physicians and Surgeons is a political organization. I'm sure you know that as well as I do. If you want to have an honest debate, cite neutral third parties.   Oh there it is, the myth of neutrality and genetic fallacy all rolled in one. Nice job jesseald! Facts are annoying things aren't they? But waving the magic wand of neutrality doesn't make them go away. And neither does disparaging the source of those facts.   Can't be done. Homosexuality is not a choice.   Let me see if I understand you.   Homosexuality is a behavior, we don't choose our behaviors therefore you can't be free from bad behaviors.   So what do ya do with all those people who change their behavior? And why are you trying to persuade me to change my behavior towards homosexuality.  Wow! So you are a fatalist. DNA is destiny right? Oh wait, were is that gene? what they can't find it! darn.  By making this argument you deny the moral component in play and therefore deny the existence of a moral agent (a soul). Your argument therefore assumes naturalism. Oh but wait, your argument is full of moral judgments and thoughts. Darn! those abstract realities always mess things up.",p-Other,0,gr471arg5
gr471,"No, it's nothing like that. Actually, I see Avedomni over there has put it better than I can -- you're conflating description with definition.   How is it not like it? How am I conflating description with definition when I am talking about the order of something?   Accept it? No, I don't think you will ever accept it. Your mind is closed. But I do want to force you to tolerate it. We forced racial integration onto people who didn't want it, and that was a good thing. We should force gay marriage onto people for similar reasons.   I do want to force you to tolerate it? Wow! maybe I'm wrong but that doesn't sound like toleration or freedom. It sounds more like tyranny.  You assume that racial integration and gay marriage are morally equivalent. Please tell me how judging the color of ones skin is equivalent to judging the behavior of someone. Maybe you should be more open minded to the fact that they might not be morally equivalent.   I wouldn't say it's a good thing. It just is.    You wouldn't say it's a good thing? You just said that racial integration was a good thing and gay marriage is it's moral equivalent. So how is that not saying this is a good thing if this a part of gay marriage?    Are you honestly suggesting a large number of people should repress their sexuality for their entire lives?   Yes, just like thieves and murderers should repress their desires for their entire lives. Some behaviors are detrimental to civilization and should be restrained for the greater good. Just ask the Roman Empire what happens when you let homosexuality be freely expressed.   Problems such as depression and suicide are caused by a lack of tolerance, and we should work to change society's attitude.   Sorry, Loss of hope leads to depression and depression leads to suicide. Telling people the are born gay and can't change kills hope for someones who's conscience is troubled.   See when you tell someone they are born gay and can't change; you shut the door on them and say there is no way out; you seal their fate and condemn them to death.  I however throw the door open and say; your behavior doesn't define you, you can change and there are thousands who have. That's hope and that saves lives.   Also, American Physicians and Surgeons is a political organization. I'm sure you know that as well as I do. If you want to have an honest debate, cite neutral third parties.   Oh there it is, the myth of neutrality and genetic fallacy all rolled in one. Nice job jesseald! Facts are annoying things aren't they? But waving the magic wand of neutrality doesn't make them go away. And neither does disparaging the source of those facts.   Can't be done. Homosexuality is not a choice.   Let me see if I understand you.   Homosexuality is a behavior, we don't choose our behaviors therefore you can't be free from bad behaviors.   So what do ya do with all those people who change their behavior? And why are you trying to persuade me to change my behavior towards homosexuality.  Wow! So you are a fatalist. DNA is destiny right? Oh wait, were is that gene? what they can't find it! darn.  By making this argument you deny the moral component in play and therefore deny the existence of a moral agent (a soul). Your argument therefore assumes naturalism. Oh but wait, your argument is full of moral judgments and thoughts. Darn! those abstract realities always mess things up.",c-religion,1,gr471arg6
gr471,"No, it's nothing like that. Actually, I see Avedomni over there has put it better than I can -- you're conflating description with definition.   How is it not like it? How am I conflating description with definition when I am talking about the order of something?   Accept it? No, I don't think you will ever accept it. Your mind is closed. But I do want to force you to tolerate it. We forced racial integration onto people who didn't want it, and that was a good thing. We should force gay marriage onto people for similar reasons.   I do want to force you to tolerate it? Wow! maybe I'm wrong but that doesn't sound like toleration or freedom. It sounds more like tyranny.  You assume that racial integration and gay marriage are morally equivalent. Please tell me how judging the color of ones skin is equivalent to judging the behavior of someone. Maybe you should be more open minded to the fact that they might not be morally equivalent.   I wouldn't say it's a good thing. It just is.    You wouldn't say it's a good thing? You just said that racial integration was a good thing and gay marriage is it's moral equivalent. So how is that not saying this is a good thing if this a part of gay marriage?    Are you honestly suggesting a large number of people should repress their sexuality for their entire lives?   Yes, just like thieves and murderers should repress their desires for their entire lives. Some behaviors are detrimental to civilization and should be restrained for the greater good. Just ask the Roman Empire what happens when you let homosexuality be freely expressed.   Problems such as depression and suicide are caused by a lack of tolerance, and we should work to change society's attitude.   Sorry, Loss of hope leads to depression and depression leads to suicide. Telling people the are born gay and can't change kills hope for someones who's conscience is troubled.   See when you tell someone they are born gay and can't change; you shut the door on them and say there is no way out; you seal their fate and condemn them to death.  I however throw the door open and say; your behavior doesn't define you, you can change and there are thousands who have. That's hope and that saves lives.   Also, American Physicians and Surgeons is a political organization. I'm sure you know that as well as I do. If you want to have an honest debate, cite neutral third parties.   Oh there it is, the myth of neutrality and genetic fallacy all rolled in one. Nice job jesseald! Facts are annoying things aren't they? But waving the magic wand of neutrality doesn't make them go away. And neither does disparaging the source of those facts.   Can't be done. Homosexuality is not a choice.   Let me see if I understand you.   Homosexuality is a behavior, we don't choose our behaviors therefore you can't be free from bad behaviors.   So what do ya do with all those people who change their behavior? And why are you trying to persuade me to change my behavior towards homosexuality.  Wow! So you are a fatalist. DNA is destiny right? Oh wait, were is that gene? what they can't find it! darn.  By making this argument you deny the moral component in play and therefore deny the existence of a moral agent (a soul). Your argument therefore assumes naturalism. Oh but wait, your argument is full of moral judgments and thoughts. Darn! those abstract realities always mess things up.",c-abnormal,0,gr471arg7
gr471,"No, it's nothing like that. Actually, I see Avedomni over there has put it better than I can -- you're conflating description with definition.   How is it not like it? How am I conflating description with definition when I am talking about the order of something?   Accept it? No, I don't think you will ever accept it. Your mind is closed. But I do want to force you to tolerate it. We forced racial integration onto people who didn't want it, and that was a good thing. We should force gay marriage onto people for similar reasons.   I do want to force you to tolerate it? Wow! maybe I'm wrong but that doesn't sound like toleration or freedom. It sounds more like tyranny.  You assume that racial integration and gay marriage are morally equivalent. Please tell me how judging the color of ones skin is equivalent to judging the behavior of someone. Maybe you should be more open minded to the fact that they might not be morally equivalent.   I wouldn't say it's a good thing. It just is.    You wouldn't say it's a good thing? You just said that racial integration was a good thing and gay marriage is it's moral equivalent. So how is that not saying this is a good thing if this a part of gay marriage?    Are you honestly suggesting a large number of people should repress their sexuality for their entire lives?   Yes, just like thieves and murderers should repress their desires for their entire lives. Some behaviors are detrimental to civilization and should be restrained for the greater good. Just ask the Roman Empire what happens when you let homosexuality be freely expressed.   Problems such as depression and suicide are caused by a lack of tolerance, and we should work to change society's attitude.   Sorry, Loss of hope leads to depression and depression leads to suicide. Telling people the are born gay and can't change kills hope for someones who's conscience is troubled.   See when you tell someone they are born gay and can't change; you shut the door on them and say there is no way out; you seal their fate and condemn them to death.  I however throw the door open and say; your behavior doesn't define you, you can change and there are thousands who have. That's hope and that saves lives.   Also, American Physicians and Surgeons is a political organization. I'm sure you know that as well as I do. If you want to have an honest debate, cite neutral third parties.   Oh there it is, the myth of neutrality and genetic fallacy all rolled in one. Nice job jesseald! Facts are annoying things aren't they? But waving the magic wand of neutrality doesn't make them go away. And neither does disparaging the source of those facts.   Can't be done. Homosexuality is not a choice.   Let me see if I understand you.   Homosexuality is a behavior, we don't choose our behaviors therefore you can't be free from bad behaviors.   So what do ya do with all those people who change their behavior? And why are you trying to persuade me to change my behavior towards homosexuality.  Wow! So you are a fatalist. DNA is destiny right? Oh wait, were is that gene? what they can't find it! darn.  By making this argument you deny the moral component in play and therefore deny the existence of a moral agent (a soul). Your argument therefore assumes naturalism. Oh but wait, your argument is full of moral judgments and thoughts. Darn! those abstract realities always mess things up.",c-threat_to_child,0,gr471arg8
gr471,"No, it's nothing like that. Actually, I see Avedomni over there has put it better than I can -- you're conflating description with definition.   How is it not like it? How am I conflating description with definition when I am talking about the order of something?   Accept it? No, I don't think you will ever accept it. Your mind is closed. But I do want to force you to tolerate it. We forced racial integration onto people who didn't want it, and that was a good thing. We should force gay marriage onto people for similar reasons.   I do want to force you to tolerate it? Wow! maybe I'm wrong but that doesn't sound like toleration or freedom. It sounds more like tyranny.  You assume that racial integration and gay marriage are morally equivalent. Please tell me how judging the color of ones skin is equivalent to judging the behavior of someone. Maybe you should be more open minded to the fact that they might not be morally equivalent.   I wouldn't say it's a good thing. It just is.    You wouldn't say it's a good thing? You just said that racial integration was a good thing and gay marriage is it's moral equivalent. So how is that not saying this is a good thing if this a part of gay marriage?    Are you honestly suggesting a large number of people should repress their sexuality for their entire lives?   Yes, just like thieves and murderers should repress their desires for their entire lives. Some behaviors are detrimental to civilization and should be restrained for the greater good. Just ask the Roman Empire what happens when you let homosexuality be freely expressed.   Problems such as depression and suicide are caused by a lack of tolerance, and we should work to change society's attitude.   Sorry, Loss of hope leads to depression and depression leads to suicide. Telling people the are born gay and can't change kills hope for someones who's conscience is troubled.   See when you tell someone they are born gay and can't change; you shut the door on them and say there is no way out; you seal their fate and condemn them to death.  I however throw the door open and say; your behavior doesn't define you, you can change and there are thousands who have. That's hope and that saves lives.   Also, American Physicians and Surgeons is a political organization. I'm sure you know that as well as I do. If you want to have an honest debate, cite neutral third parties.   Oh there it is, the myth of neutrality and genetic fallacy all rolled in one. Nice job jesseald! Facts are annoying things aren't they? But waving the magic wand of neutrality doesn't make them go away. And neither does disparaging the source of those facts.   Can't be done. Homosexuality is not a choice.   Let me see if I understand you.   Homosexuality is a behavior, we don't choose our behaviors therefore you can't be free from bad behaviors.   So what do ya do with all those people who change their behavior? And why are you trying to persuade me to change my behavior towards homosexuality.  Wow! So you are a fatalist. DNA is destiny right? Oh wait, were is that gene? what they can't find it! darn.  By making this argument you deny the moral component in play and therefore deny the existence of a moral agent (a soul). Your argument therefore assumes naturalism. Oh but wait, your argument is full of moral judgments and thoughts. Darn! those abstract realities always mess things up.",c-gay_problems,1,gr471arg9
gr471,"No, it's nothing like that. Actually, I see Avedomni over there has put it better than I can -- you're conflating description with definition.   How is it not like it? How am I conflating description with definition when I am talking about the order of something?   Accept it? No, I don't think you will ever accept it. Your mind is closed. But I do want to force you to tolerate it. We forced racial integration onto people who didn't want it, and that was a good thing. We should force gay marriage onto people for similar reasons.   I do want to force you to tolerate it? Wow! maybe I'm wrong but that doesn't sound like toleration or freedom. It sounds more like tyranny.  You assume that racial integration and gay marriage are morally equivalent. Please tell me how judging the color of ones skin is equivalent to judging the behavior of someone. Maybe you should be more open minded to the fact that they might not be morally equivalent.   I wouldn't say it's a good thing. It just is.    You wouldn't say it's a good thing? You just said that racial integration was a good thing and gay marriage is it's moral equivalent. So how is that not saying this is a good thing if this a part of gay marriage?    Are you honestly suggesting a large number of people should repress their sexuality for their entire lives?   Yes, just like thieves and murderers should repress their desires for their entire lives. Some behaviors are detrimental to civilization and should be restrained for the greater good. Just ask the Roman Empire what happens when you let homosexuality be freely expressed.   Problems such as depression and suicide are caused by a lack of tolerance, and we should work to change society's attitude.   Sorry, Loss of hope leads to depression and depression leads to suicide. Telling people the are born gay and can't change kills hope for someones who's conscience is troubled.   See when you tell someone they are born gay and can't change; you shut the door on them and say there is no way out; you seal their fate and condemn them to death.  I however throw the door open and say; your behavior doesn't define you, you can change and there are thousands who have. That's hope and that saves lives.   Also, American Physicians and Surgeons is a political organization. I'm sure you know that as well as I do. If you want to have an honest debate, cite neutral third parties.   Oh there it is, the myth of neutrality and genetic fallacy all rolled in one. Nice job jesseald! Facts are annoying things aren't they? But waving the magic wand of neutrality doesn't make them go away. And neither does disparaging the source of those facts.   Can't be done. Homosexuality is not a choice.   Let me see if I understand you.   Homosexuality is a behavior, we don't choose our behaviors therefore you can't be free from bad behaviors.   So what do ya do with all those people who change their behavior? And why are you trying to persuade me to change my behavior towards homosexuality.  Wow! So you are a fatalist. DNA is destiny right? Oh wait, were is that gene? what they can't find it! darn.  By making this argument you deny the moral component in play and therefore deny the existence of a moral agent (a soul). Your argument therefore assumes naturalism. Oh but wait, your argument is full of moral judgments and thoughts. Darn! those abstract realities always mess things up.",c-Other,0,gr471arg10
gr472,Yes. The genitalia between your legs shouldn't dictate with whom you can spend the rest of your life.,p-normal,0,gr472arg0
gr472,Yes. The genitalia between your legs shouldn't dictate with whom you can spend the rest of your life.,p-right_denied,0,gr472arg1
gr472,Yes. The genitalia between your legs shouldn't dictate with whom you can spend the rest of your life.,p-no_threat_for_child,0,gr472arg2
gr472,Yes. The genitalia between your legs shouldn't dictate with whom you can spend the rest of your life.,p-born,0,gr472arg3
