id,text,label,present,uid
gr410,That community should be having the same rights as we do. Why ban it because you don't like who they love?,p-normal,0,gr410arg0
gr410,That community should be having the same rights as we do. Why ban it because you don't like who they love?,p-right_denied,1,gr410arg1
gr410,That community should be having the same rights as we do. Why ban it because you don't like who they love?,p-no_threat_for_child,0,gr410arg2
gr410,That community should be having the same rights as we do. Why ban it because you don't like who they love?,p-born,0,gr410arg3
gr410,That community should be having the same rights as we do. Why ban it because you don't like who they love?,p-religion,0,gr410arg4
gr410,That community should be having the same rights as we do. Why ban it because you don't like who they love?,p-Other,0,gr410arg5
gr410,That community should be having the same rights as we do. Why ban it because you don't like who they love?,c-religion,0,gr410arg6
gr410,That community should be having the same rights as we do. Why ban it because you don't like who they love?,c-abnormal,0,gr410arg7
gr410,That community should be having the same rights as we do. Why ban it because you don't like who they love?,c-threat_to_child,0,gr410arg8
gr410,That community should be having the same rights as we do. Why ban it because you don't like who they love?,c-gay_problems,0,gr410arg9
gr410,That community should be having the same rights as we do. Why ban it because you don't like who they love?,c-Other,0,gr410arg10
