id,text,label,present
ma1arg0,"If we legalized marijuana, it would likely bankrupt the cartels, which are profitable because they are the biggest ""under the table"" distributer. People would have no reason to buy from them when they could grow their own, or buy it cheaply from WalMart. The problem is that people under the influence of marijuana are more likely to commit crimes. If it is legalized, we need to be prepared to dump unlimited capital case appeals and do some executing.",p-not_addictive,0
ma1arg1,"If we legalized marijuana, it would likely bankrupt the cartels, which are profitable because they are the biggest ""under the table"" distributer. People would have no reason to buy from them when they could grow their own, or buy it cheaply from WalMart. The problem is that people under the influence of marijuana are more likely to commit crimes. If it is legalized, we need to be prepared to dump unlimited capital case appeals and do some executing.",p-medicine,0
ma1arg2,"If we legalized marijuana, it would likely bankrupt the cartels, which are profitable because they are the biggest ""under the table"" distributer. People would have no reason to buy from them when they could grow their own, or buy it cheaply from WalMart. The problem is that people under the influence of marijuana are more likely to commit crimes. If it is legalized, we need to be prepared to dump unlimited capital case appeals and do some executing.",p-legal,1
ma1arg3,"If we legalized marijuana, it would likely bankrupt the cartels, which are profitable because they are the biggest ""under the table"" distributer. People would have no reason to buy from them when they could grow their own, or buy it cheaply from WalMart. The problem is that people under the influence of marijuana are more likely to commit crimes. If it is legalized, we need to be prepared to dump unlimited capital case appeals and do some executing.",p-right,0
ma1arg4,"If we legalized marijuana, it would likely bankrupt the cartels, which are profitable because they are the biggest ""under the table"" distributer. People would have no reason to buy from them when they could grow their own, or buy it cheaply from WalMart. The problem is that people under the influence of marijuana are more likely to commit crimes. If it is legalized, we need to be prepared to dump unlimited capital case appeals and do some executing.",p-no_damage,0
ma1arg5,"If we legalized marijuana, it would likely bankrupt the cartels, which are profitable because they are the biggest ""under the table"" distributer. People would have no reason to buy from them when they could grow their own, or buy it cheaply from WalMart. The problem is that people under the influence of marijuana are more likely to commit crimes. If it is legalized, we need to be prepared to dump unlimited capital case appeals and do some executing.",p-Other,0
ma1arg6,"If we legalized marijuana, it would likely bankrupt the cartels, which are profitable because they are the biggest ""under the table"" distributer. People would have no reason to buy from them when they could grow their own, or buy it cheaply from WalMart. The problem is that people under the influence of marijuana are more likely to commit crimes. If it is legalized, we need to be prepared to dump unlimited capital case appeals and do some executing.",c-health,0
ma1arg7,"If we legalized marijuana, it would likely bankrupt the cartels, which are profitable because they are the biggest ""under the table"" distributer. People would have no reason to buy from them when they could grow their own, or buy it cheaply from WalMart. The problem is that people under the influence of marijuana are more likely to commit crimes. If it is legalized, we need to be prepared to dump unlimited capital case appeals and do some executing.",c-mind,0
ma1arg8,"If we legalized marijuana, it would likely bankrupt the cartels, which are profitable because they are the biggest ""under the table"" distributer. People would have no reason to buy from them when they could grow their own, or buy it cheaply from WalMart. The problem is that people under the influence of marijuana are more likely to commit crimes. If it is legalized, we need to be prepared to dump unlimited capital case appeals and do some executing.",c-illegal,0
ma1arg9,"If we legalized marijuana, it would likely bankrupt the cartels, which are profitable because they are the biggest ""under the table"" distributer. People would have no reason to buy from them when they could grow their own, or buy it cheaply from WalMart. The problem is that people under the influence of marijuana are more likely to commit crimes. If it is legalized, we need to be prepared to dump unlimited capital case appeals and do some executing.",c-crime,1
ma1arg10,"If we legalized marijuana, it would likely bankrupt the cartels, which are profitable because they are the biggest ""under the table"" distributer. People would have no reason to buy from them when they could grow their own, or buy it cheaply from WalMart. The problem is that people under the influence of marijuana are more likely to commit crimes. If it is legalized, we need to be prepared to dump unlimited capital case appeals and do some executing.",c-addiction,0
ma1arg11,"If we legalized marijuana, it would likely bankrupt the cartels, which are profitable because they are the biggest ""under the table"" distributer. People would have no reason to buy from them when they could grow their own, or buy it cheaply from WalMart. The problem is that people under the influence of marijuana are more likely to commit crimes. If it is legalized, we need to be prepared to dump unlimited capital case appeals and do some executing.",c-Other,0
ma10arg0,"Did you read my argument entirely? I clearly stated that eventually, the rampant use of marijuana would level off, but immediately following the legalization of the drug would cause widespread pandemonium. And I'm not sure how last that would long.",p-not_addictive,0
ma10arg1,"Did you read my argument entirely? I clearly stated that eventually, the rampant use of marijuana would level off, but immediately following the legalization of the drug would cause widespread pandemonium. And I'm not sure how last that would long.",p-medicine,0
ma10arg2,"Did you read my argument entirely? I clearly stated that eventually, the rampant use of marijuana would level off, but immediately following the legalization of the drug would cause widespread pandemonium. And I'm not sure how last that would long.",p-legal,0
ma10arg3,"Did you read my argument entirely? I clearly stated that eventually, the rampant use of marijuana would level off, but immediately following the legalization of the drug would cause widespread pandemonium. And I'm not sure how last that would long.",p-right,0
ma10arg4,"Did you read my argument entirely? I clearly stated that eventually, the rampant use of marijuana would level off, but immediately following the legalization of the drug would cause widespread pandemonium. And I'm not sure how last that would long.",p-no_damage,0
ma10arg5,"Did you read my argument entirely? I clearly stated that eventually, the rampant use of marijuana would level off, but immediately following the legalization of the drug would cause widespread pandemonium. And I'm not sure how last that would long.",p-Other,0
ma10arg6,"Did you read my argument entirely? I clearly stated that eventually, the rampant use of marijuana would level off, but immediately following the legalization of the drug would cause widespread pandemonium. And I'm not sure how last that would long.",c-health,0
ma10arg7,"Did you read my argument entirely? I clearly stated that eventually, the rampant use of marijuana would level off, but immediately following the legalization of the drug would cause widespread pandemonium. And I'm not sure how last that would long.",c-mind,0
ma10arg8,"Did you read my argument entirely? I clearly stated that eventually, the rampant use of marijuana would level off, but immediately following the legalization of the drug would cause widespread pandemonium. And I'm not sure how last that would long.",c-illegal,1
ma10arg9,"Did you read my argument entirely? I clearly stated that eventually, the rampant use of marijuana would level off, but immediately following the legalization of the drug would cause widespread pandemonium. And I'm not sure how last that would long.",c-crime,0
ma10arg10,"Did you read my argument entirely? I clearly stated that eventually, the rampant use of marijuana would level off, but immediately following the legalization of the drug would cause widespread pandemonium. And I'm not sure how last that would long.",c-addiction,0
ma10arg11,"Did you read my argument entirely? I clearly stated that eventually, the rampant use of marijuana would level off, but immediately following the legalization of the drug would cause widespread pandemonium. And I'm not sure how last that would long.",c-Other,0
ma100arg0,"Exactly, it costs so much, but accomplishes so little. Really all making it illegal does it raises the black market price. So the beneficiaries are drug dealers and money laundering bankers.  Its tragic because mandatory sentences are so excessive they ruin young peoples lives with long jail times. This is inexcusable. It should never have been made illegal in the first place.",p-not_addictive,0
ma100arg1,"Exactly, it costs so much, but accomplishes so little. Really all making it illegal does it raises the black market price. So the beneficiaries are drug dealers and money laundering bankers.  Its tragic because mandatory sentences are so excessive they ruin young peoples lives with long jail times. This is inexcusable. It should never have been made illegal in the first place.",p-medicine,0
ma100arg2,"Exactly, it costs so much, but accomplishes so little. Really all making it illegal does it raises the black market price. So the beneficiaries are drug dealers and money laundering bankers.  Its tragic because mandatory sentences are so excessive they ruin young peoples lives with long jail times. This is inexcusable. It should never have been made illegal in the first place.",p-legal,1
ma100arg3,"Exactly, it costs so much, but accomplishes so little. Really all making it illegal does it raises the black market price. So the beneficiaries are drug dealers and money laundering bankers.  Its tragic because mandatory sentences are so excessive they ruin young peoples lives with long jail times. This is inexcusable. It should never have been made illegal in the first place.",p-right,1
ma100arg4,"Exactly, it costs so much, but accomplishes so little. Really all making it illegal does it raises the black market price. So the beneficiaries are drug dealers and money laundering bankers.  Its tragic because mandatory sentences are so excessive they ruin young peoples lives with long jail times. This is inexcusable. It should never have been made illegal in the first place.",p-no_damage,0
ma100arg5,"Exactly, it costs so much, but accomplishes so little. Really all making it illegal does it raises the black market price. So the beneficiaries are drug dealers and money laundering bankers.  Its tragic because mandatory sentences are so excessive they ruin young peoples lives with long jail times. This is inexcusable. It should never have been made illegal in the first place.",p-Other,0
