comment_text,argument_text,label
"Simple, maybe I believe in Allah, or the flying spaghetti monster, or no god at all. Why won't they put and to the republic, for which it stands, one nation under the flying spaghetti monster...?",Separation of state and religion,1
"As an devout atheist I strongly oppose this. It seems like some people don't understand that there IS  a seperation between church and state. Now I have to join the herd and recite a few words that mean nothing to me? We have something called a church that people do this in. So why is it in a public school?  Are we forgetting about those who may practice hinduism, buddhism, shintoism and other religions? What about them?  I don't care if the majority of people are Christains. SO! But since when do the majority decide what is best for everyone? Where are we in China now?  By the way, I thought as a good bunch of christains you were not suppose to mention thy lord's name in vain. CLAP CLAP Good for you.....NOT! Here you are running around using it in some nationalist verse so you can feel better about yourselves. God bless America what about the rest of the world?",Separation of state and religion,1
Genius that statement was written in refrence to a tyrant that would have forced you to say under God on pain of DEATH!,Likely to be seen as a state-sanctioned condemnation of religion,1
"Religious bondage shackles and debilitates the mind and unfits it for every noble enterprise. - James Madison   Genius that statement was written in refrence to a tyrant that would have forced you to say under God on pain of DEATH! And the simple yet increadibly important thing that all you Cons seem to be forgetting is that NO ONE IS FORCING YOU TO SAY OR BELIEVE ANYTHING YOU DONT WANT TO!!!! Since it was added 58 Years ago no one has been forced to believe in God, or put to death for not believing in the Almighty, nor has anyone been incarcerated for not saying those words in the pledge so quit all your meaningless bitching about how your looking for attention and want everyone to look at you, cause we both know thats what all of this is really and truely about. When we get down to the core you all just want to have everyones attention while you create problems for 89% of the country! I'll say it again for the slow ones that are a little behind, NO....ONE....IS....FORCING....YOU....TO....BELIEVE....IN....GOD!!!!!!!!!!!!!!!",Separation of state and religion,1
"I've noticed some pro-people saying, We can't force our religion on others, but atheists can force theirs on us?nTechnically speaking, Atheism isn't a religion, just the lack of one. So really, we're not forcing any sort of religion on you, we just want to have yours removed from the Pledge. nnAndddddd, done.",Separation of state and religion,1
"No, they should be officially removed. The idea of having a religion test in the Pledge of Allegiance is repugnant to me. I learned to say the Pledge before those words were added, and I refuse to utter them today, as I believe their presence violates good sense and the Constitution. They were added in the mid-Fifties in a rather successful attempt to mobilize American opinion against those godless communists. In other words, they were war-talk.  Mark these words: anytime a politician brings up religion, they are attempting to manipulate the populace.",Separation of state and religion,1
"I am against having the statement Under God in the pledge for two reasons. It is violating the first amendment and the separation of state and church, and it is also offensive to the atheists and the people of other religions. You that you don't have to say it if you don't want to. I am an atheist and I prefer not to say it. For a long time after they take it out (if they do, of course), people will accidentally say it from habit of it being in there so long when it didn't need to. You CAN still be Christian even if the pledge to your country doesn't say Under God.",Separation of state and religion,1
church and state should be seperate. saying this why should under God be in the pledge? many americans that love their country are not christians so why should they have to say under God..,Likely to be seen as a state-sanctioned condemnation of religion,1
church and state should be seperate. saying this why should under God be in the pledge? many americans that love their country are not christians so why should they have to say under God..,Removing under god would promote religious tolerance,1
church and state should be seperate. saying this why should under God be in the pledge? many americans that love their country are not christians so why should they have to say under God..,Separation of state and religion,1
"The term under God is offensive to many Americans, and not just to non-believers.  It is reference to the particular God of evangelical Christians, and is simply a way for that group to flex their political muscle.  It is exclusionary. The same can be said for In God We Trust on currency.",Separation of state and religion,1
"Religion should stay out of the public square, except when people exercise their right to the freedom of speech an expression. Having Under God in the pledge forces all people to pledge allegiance to a higher power they may not believe in. The separation of Church and State should disallow such favoritism. Can anyone fathom the reaction of believers if it said: One Nation, created by a big bang and inhabited by evolved creatures.... ?",Likely to be seen as a state-sanctioned condemnation of religion,1
"Religion should stay out of the public square, except when people exercise their right to the freedom of speech an expression. Having Under God in the pledge forces all people to pledge allegiance to a higher power they may not believe in. The separation of Church and State should disallow such favoritism. Can anyone fathom the reaction of believers if it said: One Nation, created by a big bang and inhabited by evolved creatures.... ?",Removing under god would promote religious tolerance,1
"Religion should stay out of the public square, except when people exercise their right to the freedom of speech an expression. Having Under God in the pledge forces all people to pledge allegiance to a higher power they may not believe in. The separation of Church and State should disallow such favoritism. Can anyone fathom the reaction of believers if it said: One Nation, created by a big bang and inhabited by evolved creatures.... ?",Separation of state and religion,1
